# Omega  PL_can_over_PT_can
1.000000000000000082e-05 1.000101364927726610e+00
1.304443478260869649e-01 1.023936812154161435e+00
2.608786956521739198e-01 1.093374273405130603e+00
3.913130434782608469e-01 1.202658081359121001e+00
5.217473913043477740e-01 1.343465552479233160e+00
6.521817391304347566e-01 1.506345711509599505e+00
7.826160869565216283e-01 1.682053326548265115e+00
9.130504347826086109e-01 1.862502108443233162e+00
1.043484782608695705e+00 2.041256592320372043e+00
1.173919130434782687e+00 2.213631405013256614e+00
1.304353478260869670e+00 2.376532024258520170e+00
1.434787826086956652e+00 2.528169014612136500e+00
1.565222173913043413e+00 2.667742608048415676e+00
1.695656521739130396e+00 2.795154117635614277e+00
1.826090869565217378e+00 2.910768858216903787e+00
1.956525217391304361e+00 3.015235190922995745e+00
2.086959565217391344e+00 3.109354011615010904e+00
2.217393913043478104e+00 3.193989130334442983e+00
2.347828260869565309e+00 3.270008662284645151e+00
2.478262608695652069e+00 3.338248829263206208e+00
2.608696956521739274e+00 3.399493339407412495e+00
2.739131304347826035e+00 3.454463224036995239e+00
2.869565652173913239e+00 3.503813446457519909e+00
3.000000000000000000e+00 3.548133713224318253e+00
