# Omega  E_can_over_E_bel
1.000000000000000082e-05 9.999771036072092611e-01
1.304443478260869649e-01 1.014519061829582069e+00
2.608786956521739198e-01 1.058140478164128817e+00
3.913130434782608469e-01 1.130841347603366964e+00
5.217473913043477740e-01 1.232621639893088261e+00
6.521817391304347566e-01 1.363481267039764688e+00
7.826160869565216283e-01 1.523420038549599287e+00
9.130504347826086109e-01 1.712437605104900618e+00
1.043484782608695705e+00 1.930533391554440925e+00
1.173919130434782687e+00 2.177706520242508326e+00
1.304353478260869670e+00 2.453955725825478051e+00
1.434787826086956652e+00 2.759279262820139245e+00
1.565222173913043413e+00 3.093674807194460641e+00
1.695656521739130396e+00 3.457139353348348099e+00
1.826090869565217378e+00 3.849669107838660675e+00
1.956525217391304361e+00 4.271259381181163661e+00
2.086959565217391344e+00 4.721904479014876088e+00
2.217393913043478104e+00 5.201597593841086997e+00
2.347828260869565309e+00 5.710330698459007870e+00
2.478262608695652069e+00 6.248094442109994873e+00
2.608696956521739274e+00 6.814878050220750438e+00
2.739131304347826035e+00 7.410669228506271189e+00
2.869565652173913239e+00 8.035454072058225705e+00
3.000000000000000000e+00 8.689216979907968152e+00
