# Omega  PL_can_over_PL_bel
1.000000000000000082e-05 1.000000000189537053e+00
1.304443478260869649e-01 1.031422767817822495e+00
2.608786956521739198e-01 1.125680754271004336e+00
3.913130434782608469e-01 1.282771903444046790e+00
5.217473913043477740e-01 1.502692750164907221e+00
6.521817391304347566e-01 1.785438363043535759e+00
7.826160869565216283e-01 2.131002265356438663e+00
9.130504347826086109e-01 2.539376334844221539e+00
1.043484782608695705e+00 3.010550683503613101e+00
1.173919130434782687e+00 3.544513518697289367e+00
1.304353478260869670e+00 4.141250987051027899e+00
1.434787826086956652e+00 4.800747002792515872e+00
1.565222173913043413e+00 5.522983062305696578e+00
1.695656521739130396e+00 6.307938046771746521e+00
1.826090869565217378e+00 7.155588014855951862e+00
1.956525217391304361e+00 8.065905987415732170e+00
2.086959565217391344e+00 9.038861726242576111e+00
2.217393913043478104e+00 1.007442150881152898e+01
2.347828260869565309e+00 1.117254790096476214e+01
2.478262608695652069e+00 1.233319952939666209e+01
2.608696956521739274e+00 1.355633085568591412e+01
2.739131304347826035e+00 1.484189195352125346e+01
2.869565652173913239e+00 1.618982829061903317e+01
3.000000000000000000e+00 1.760008051667286466e+01
