# Omega  spin_density
1.000000000000000082e-05 -2.121927119308250722e-06
1.304443478260869649e-01 2.332745448313514047e-01
2.608786956521739198e-01 4.665478807571900033e-01
3.913130434782608469e-01 6.998145070479421248e-01
5.217473913043477740e-01 9.330709494173841101e-01
6.521817391304347566e-01 1.166313591804228889e+00
7.826160869565216283e-01 1.399538631975496994e+00
9.130504347826086109e-01 1.632742039518316091e+00
1.043484782608695705e+00 1.865919516737062134e+00
1.173919130434782687e+00 2.099066462921402199e+00
1.304353478260869670e+00 2.332177942394743742e+00
1.434787826086956652e+00 2.565248656685399364e+00
1.565222173913043413e+00 2.798272921092738841e+00
1.695656521739130396e+00 3.031244645847014141e+00
1.826090869565217378e+00 3.264157321984560323e+00
1.956525217391304361e+00 3.497004011983403604e+00
2.086959565217391344e+00 3.729777345129637212e+00
2.217393913043478104e+00 3.962469517510380790e+00
2.347828260869565309e+00 4.195072296463338013e+00
2.478262608695652069e+00 4.427577029249106566e+00
2.608696956521739274e+00 4.659974655657481257e+00
2.739131304347826035e+00 4.892255724212633439e+00
2.869565652173913239e+00 5.124410411603531834e+00
3.000000000000000000e+00 5.356428544936684411e+00
