# Omega  spin_torque
1.000000000000000082e-05 -4.199721549532648562e-04
1.304443478260869649e-01 -2.208799681453873425e-04
2.608786956521739198e-01 -1.942719523366555367e-05
3.913130434782608469e-01 1.867435063814000388e-04
5.217473913043477740e-01 3.999833356683973429e-04
6.521817391304347566e-01 6.226343014977661541e-04
7.826160869565216283e-01 8.570261960114289746e-04
9.130504347826086109e-01 1.105473594888694991e-03
1.043484782608695705e+00 1.370272898470568197e-03
1.173919130434782687e+00 1.653699417947764516e-03
1.304353478260869670e+00 1.958004516717530910e-03
1.434787826086956652e+00 2.285412814607318353e-03
1.565222173913043413e+00 2.638119464066991833e-03
1.695656521739130396e+00 3.018287507542375889e-03
1.826090869565217378e+00 3.428045323766135220e-03
1.956525217391304361e+00 3.869484173402864408e-03
2.086959565217391344e+00 4.344655850725863237e-03
2.217393913043478104e+00 4.855570451037930987e-03
2.347828260869565309e+00 5.404194261245417845e-03
2.478262608695652069e+00 5.992447780449750537e-03
2.608696956521739274e+00 6.622203878114807547e-03
2.739131304347826035e+00 7.295286094823920202e-03
2.869565652173913239e+00 8.013467090872004178e-03
3.000000000000000000e+00 8.778467247219295250e-03
