# Omega  PT_can_over_PT_bel
1.000000000000000082e-05 9.998986455355982628e-01
1.304443478260869649e-01 1.007310954714004447e+00
2.608786956521739198e-01 1.029547504136219205e+00
3.913130434782608469e-01 1.066613963957560918e+00
5.217473913043477740e-01 1.118519747225253269e+00
6.521817391304347566e-01 1.185277954058926220e+00
7.826160869565216283e-01 1.266905294690900075e+00
9.130504347826086109e-01 1.363421992024885343e+00
1.043484782608695705e+00 1.474851664817605545e+00
1.173919130434782687e+00 1.601221192773989443e+00
1.304353478260869670e+00 1.742560565049865673e+00
1.434787826086956652e+00 1.898902713800181052e+00
1.565222173913043413e+00 2.070283334547791565e+00
1.695656521739130396e+00 2.256740695252808404e+00
1.826090869565217378e+00 2.458315436025162448e+00
1.956525217391304361e+00 2.675050361476668748e+00
2.086959565217391344e+00 2.906990227705771535e+00
2.217393913043478104e+00 3.154181525895372928e+00
2.347828260869565309e+00 3.416672264457818908e+00
2.478262608695652069e+00 3.694511751575677128e+00
2.608696956521739274e+00 3.987750379898965747e+00
2.739131304347826035e+00 4.296439415029159825e+00
2.869565652173913239e+00 4.620630789286891194e+00
3.000000000000000000e+00 4.960376902109202568e+00
